category,text
Entailment,"To their good fortune, he's proving them right.[SEP]He is showing that they were correct."
Neutral,Too bad it chose to use McIntyre instead.[SEP]McIntyre was picked to be used as the closing pitcher.
Contradiction,and the other thing is the cost it's almost prohibitive to bring it to a dealer[SEP]It's cheap to bring it to a dealer.
Neutral,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.[SEP]A whole life policy is the best choice for someone who expects to live to the age of 90.
Entailment,"2466, discusses the four collections, which include certification of a minimum number of installed and operating microwave links and the maintenance of a computer-readable database.[SEP]2466 discusses four collections."
Entailment,"The Women's Haven, which provides shelter and outreach to domestic-violence victims, already has a full-time attorney.[SEP]There is a full-time attorney at the Women's Haven already."
Entailment,uh high humidity[SEP]Air with increased water content.
Contradiction,"We need to look at the implications that these differing roles have for a range of issues, such as SES core competencies, performance standards, recruitment sources, mobility, and training and development programs.[SEP]We can completely ignore the implications of the roles on mobility."
Entailment,yeah yeah yeah well because that's the way they they might seem outwardly but boy there's a lots going on in there[SEP]There is another layer to the surface.
Contradiction,"In this situation, the value to the mailer of the improved service would be considered along with the cost of doing the work.[SEP]No consideration will be given to the cost of doing the work in this case."
Neutral,Is there adequate information for judging generalizability?[SEP]Output information is way too much generalized.
Neutral,The political cleansing that did not happen through the impeachment process leaves Clinton with a great and serious burden.[SEP]The impeachment process involved Clinton's husband as well.
Contradiction,isn't it i can remember i've only been here eight years but i can remember coming to work from i used to live in Wylie and i could see downtown Dallas[SEP]I have only been here for two years.
Contradiction,"Over most of the 1980s and 1990s, the U.S. was able to invest more than it saved by attracting financing from abroad.[SEP]The US could save more than it invested in the 1980's and 90's."
Neutral,"Credibility is a vital factor, and Jim Lehrer does, indeed, have it.[SEP]Everyone would believe whatever Jim Lehrer said."
Contradiction,There should be someone here who knew more of what was going on in this world than he did now.[SEP]He knew he was the only person with any idea of what was going on. 
Neutral,"Its scorecard included measures for accuracy, speed and timeliness, unit cost, customer satisfaction, and employee development and satisfaction.[SEP]Accuracy and speed are the first measurements listed on the scorecard."
Contradiction,"On the left of the entrance ramp is the open space once occupied by the Temple of Athena, close to which are the remains of the Pergamene library.[SEP]There are no remains visible from the ramp."
Neutral,"If you are keen to learn Israeli folk dancing, the Bicurei Ha'etim Cellar in Heftman Street will teach you.[SEP]The Bicurei Ha'etim Cellar is the only place to learn Israeli folk dancing."
Entailment,"Or Sherlock Holmes?""[SEP]Was it Sherlock Holmes?"
Entailment,"Though the two cities remained unlinked by rail, this was about to change quickly.[SEP]The two cities did not have a railway between them."
Contradiction,Tourist Information offices can be very helpful.[SEP]Tourist Information offices are never of any help.
Entailment,"More detailed implementation plans also will be necessary to address business system, processes, and resource issues.[SEP]Detailed implementation plans are necessary to address business system, processes and resources "
Neutral,"First, injected cannabinoids may not mirror the effects of smoked marijuana.[SEP]Smoking marijuana gets people higher than injected them with cannabinoids."
Contradiction,The data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the Federal Government but not in individual reports of its component units.[SEP]The data would be included in individual reports concerning the constituent units of the federal government.
Neutral,"Boca da Corrida Encumeada (moderate; 5 hours): views of Curral das Freiras and the valley of Ribeiro do Poco.[SEP]""Views of Curral da Freiras and the valley of Ribeiro do Poco"" is chapter 5. "
Neutral,"INTEREST RATE - The price charged per unit of money borrowed per year, or other unit of time, usually expressed as a percentage.[SEP]Interest rate can range from zero to fifteen percent. "
Neutral,that's hilarious to to get that jack off that's right oh that's a funny story[SEP]I will enjoy telling that story.
Entailment,"Mr. Erlenborn attended undergraduate courses at the University of Notre Dame, Indiana University, the University of Illinois, and Loyala University of Chicago.[SEP]Mr. Erlenborn attended classes in at least four different universities."
Contradiction,"So unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer, our clients are simply lost in the legal system if they cannot get access to it from us.[SEP]Our clients can afford attorneys and bouncing between lawyers."
Entailment,Finally the woman opened her eyes feebly.[SEP]She opened her eyes. 
Entailment,The finest is the huge conical-roofed Tomb/Pillar of Absalom (King David's son).[SEP]The Tomb/Pillar of Absalom has a large cone-shaped roof.
Entailment,"Unless the mention of the Ritz was an accidental remark?""[SEP]Was mentioning the Ritz accidental?"
Neutral,They are the four sentences you always insert in plagiarized papers to throw the professor off track.[SEP]These four sentences force professors to skim over the paragraph and inadvertently skip the plagiarized information.
Entailment,This man claims that he has been robbed en route and is stranded without money or his plane ticket in an airport somewhere in Europe or the Middle East.[SEP]He claimed he was robbed on the way and has no money or a plane ticket
Entailment,"It was planned in the 1820s as a symbol of Scottish national pride and designed as a mini-Parthenon, in deference to the neoclassical style popular at the time.[SEP]It was designed to be a smaller version of the Parthenon.  "
Entailment,"Although claims data provide the most accurate information about health care use, ensuring adequate follow-up for purposes of obtaining information from patient self-report is important because many people do not report alcohol-related events to insurance compa-nies.[SEP]Alcohol related events that contribute to disease are often unreported by patients to their insurance companies. "
Contradiction,"Could you please speak to this issue, with regard to the social ramifications of gum chewing in public?[SEP]You don't have an opinion on gum chewing in public, I see."
Neutral,The H-2A worker must depart the country and is subject to deportation for failing to do so.[SEP]The H-2A worker committed a crime.
Entailment,The researchers found expected stresses like the loss of a check in the mail and the illness of loved ones.[SEP]The stresses affected people as the researchers expected.
Contradiction,You have to walk through it).[SEP]You can stay where you are.
Neutral,"The 28 sta?­tues representing the kings of Judah and Israel have been remodeled after the drawings of Viollet-le-Duc; the original ones were pulled down during the Revolution, since they were thought to be the kings of France.[SEP]The people who pulled down the statues were executed."
Entailment,"Ca'daan closed the door behind them and retied the not.[SEP]Ca'daan closed the door as they entered, and bound it shut with rope."
Entailment,Small towns like Louisian lay scattered all over the Oil Fields; the main train line branched between them.[SEP]A main train line went between all the small towns.
Contradiction,i think that the people that are um have um a lower income which you automatically equate with lower education[SEP]I think higher income equals lower education.
Neutral,"Be of good cheer,[SEP]Be of good cheer, for beer time is near."
Contradiction,"In reviewing this history, it's important to make some crucial distinctions.[SEP]There's no point in analyzing the past."
Neutral,"The Black River, at 71 km (44 miles), is the longest in Jamaica; it was an arterial route used to transport rum and lumber from the inland plantations.[SEP]The Black River received its name because the water in its stream is actually black."
Contradiction,in our town of five thousand we have one that is uh local FM AM station and their news is fed from CNN too uh it's more of uh[SEP]The town radio station never relied on any national news sources.
Neutral,There are certain categories of control activities that are common to all agencies.[SEP]Control activities such as safe business practices are universally common across all agencies.
Contradiction,"More than 100 judges, lawyers and dignitaries were present for the gathering.[SEP]Only two people showed up for the gathering."
Contradiction,He had forgotten about Adrin.[SEP]He remembered Adrin all this time.
Entailment,"In other words, the paper exhibited the all-too-typical journalistic tic of exposing potential conflicts of interest involving politicians while ignoring those involving journalists.[SEP]The paper shows, the journalists exposing potential conflicts of interests around politicians, but never exposing other journalists."
Entailment,The final reason for the teen renaissance is boomer self-obsession.[SEP]Boomer self-obsession is one of the reasons for teen renaissance.
Entailment,"After the death of Columbus in 1505, Jamaica became the property of his son Diego, who dispatched Don Juan de Esquivel to the island as Governor.[SEP]Jamaica was inherited by Columbus' son, Diego."
Contradiction,"They won't be killing off George Clooney's character at ER like they did to Jimmy Smits at NYPD . Instead, Dr. Doug Ross is being forced out over the next two episodes because the maverick heartthrob gives an unauthorized painkiller to a terminally ill boy (Thursday, 10 p.m.).[SEP]George Clooney will lose his job because the producers don't think he can act. "
Entailment,"120 ""You do not think I ought to go to the police?""[SEP]Should I not go to the police?"
Contradiction,yeah because those things i think would just snap you know[SEP]Because they would survive easily.
Entailment,We have taken a number of steps to empower and invest in our employees.[SEP]The steps we have taken put programs for the employees in place.
Contradiction,"In the case of speech, Fiss appears to believe that the reason the American public is less enlightened than he would wish it to be concerning matters such as feminism, the rights of homosexuals, and regulation of industry is that people are denied access to the opinions and information that would enlighten them.[SEP]People in America are very well informed on controversial topics, according to Fiss."
Contradiction,"The rustic Bras-David picnic area, for example, is set alongside a burbling stream.[SEP]The picnic area is not near a stream."
Neutral,and uh well if you if you got got him a power mower it'd probably take him a lot less time to do it but i enjoy doing it i feel good doing it uh i i feel a lot better doing it with a power mower with that with a  with a pull tractor on it so i don't have to push so hard[SEP]He would mow your entire yard in eight minutes if he was using a power mower.
Neutral,um-hum yeah i saw that for the first time yesterday in the evening[SEP]I was very impressed when I saw that yesterday.
Contradiction,"Bauerstein.""[SEP]Alfred Inglethorp"
Entailment,What have we for lunch? [SEP]What are we going to eat for lunch?
Neutral,A poll of Hong Kong residents finds them sanguine about the city's future.[SEP]A poll of Hong Kong residents finds them more sanguine about the city's future than before. 
Neutral,well i meant when when you were when you were growing up i mean like Galveston[SEP]You grew up in Galveston and I grew up in Dallas.
Entailment,I am so constituted as to be unable to give away money with any satisfaction until I have made the most careful inquiry as to the worthiness of the cause.[SEP]I have to research a cause carefully before donating money to it.
Neutral,you know they they like what they're doing they you know they feel good about what they're doing that type of thing it's more[SEP]You can see the way that their whole demeanor has changed.
Contradiction,Can I help you?'[SEP]I'm not helping you at all.
Neutral,"The traditional opening time for many hotels is the Orthodox Easter, although some do not open until the end of April.[SEP]The hotels don't open in Halloween."
Neutral,medical and surgical expense coverage.[SEP]Medical and surgical expenses were fully covered
Neutral,exactly and when i'm sitting here on the sofa cross-stitching and all of a sudden somebody a man's got their hand on my door knob it's like uh like oh no and so i don't i don't like that and i guess the only way to prevent it would be just to pass a city ordinance to prevent that or[SEP]A man tried to enter the house so that he could rob it. 
Entailment,"The Chinese calendar was used to calculate the year of Japan's foundation by counting back the 1,260 years of the Chinese cosmological cycle.[SEP]Japan's foundation was determined by using the Chinese calendar."
Contradiction,"yeah pay fifteen yeah yes i know yeah and when you pay fifteen dollars a month it sure takes a long time[SEP]When you pay $100 a month, it take a long time."
Contradiction,"Thus, the net scale benefit is initially positive, whether or not we adjust for the wage premium.[SEP]Initial net scale benefits are negative when adjusted for the wage premium."
Entailment,"Look here, you've no business to come asking for me in this way.[SEP]There's no reason for you to be asking for me like this."
Contradiction,The experts point out that it is not age alone that determines a Chinese antique's value the dynasties of the past had their creative ups and downs.[SEP]Collectors base the price of their chinese antiques off of their age only.
Contradiction,Small towns like Louisian lay scattered all over the Oil Fields; the main train line branched between them.[SEP]There was only one town in the oil fields.
Entailment,"Regulators may not be totally supportive of a more comprehensive business model because they are concerned that the information would be based on a lot of judgment and, therefore, lack of precision, which could make enforcement of reporting standards difficult.[SEP]Difficulty of reporting standards can be a huge obstacle for this business model."
Entailment,"First, get the basics right, that is, the blocking and tackling of financial reporting.[SEP]The basics need to be right first."
Entailment,"In a still faintly Victorian atmosphere, Dinard has preserved all the best assets of a good luxury villas and long, paved promenades, plush hotels, elegant boutiques, discothyques, casino, parks and gardens, and an Olympic-size public swimming pool.[SEP]Dinard maintains a Victorian sensibility while also including luxury elements."
Contradiction,"Along with each step, certain practices proved especially important to the success of their efforts.[SEP]No practices were helpful "
Contradiction,But there's SOMETHING.[SEP]There's absolutely nothing in there.
Contradiction,"It's easy to overdose on the many temples, palaces, and museums in India.[SEP]You'll find a scarcity of palaces and temples across India."
Entailment,Very simply. [SEP]Not complicatedly.
Entailment,yeah they were my favorite team for a while[SEP]They had been my favorite team. 
Neutral,"This historically renowned freshwater lake, known both as the Sea of Galilee and Lake Kinneret (meaning a harp, after its shape), is just 58 km (36 miles) in circumference.[SEP]The Sea of Galilee has also been known as Lake Kinneret for hundreds of years."
Contradiction,"because i i mean i don't know it's just something i think something we need[SEP]I think we could do without it, but it would change our quality of life greatly."
Contradiction,Jon walked back to the town to the smithy.[SEP]Jon continued on into the mountains.
Entailment,The Leland Act  (1) simplify the household definition[SEP]The household definition can be simplified.
Entailment,The data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the Federal Government but not in individual reports of its component units.[SEP]Individual reports that focus on its component units wouldn't include the data.
Contradiction,"Initial demand for land in the New Town was not spectacular; in fact, incentives had to be offered to entice buyers.[SEP]At first, demand for land in the New Town was high and property sold swiftly."
Neutral,"well they're so close to an undefeated undefeated season they can taste it and they wanna make history so i don't think they're gonna lack for motivation[SEP]Unless they suffer any losses, they'll remain motivated."
Neutral,"Thus, the net scale benefit is initially positive, whether or not we adjust for the wage premium.[SEP]Net scale benefits can become negative over time."
Contradiction, It was utterly mad.[SEP]It was perfectly normal.
Neutral,saving that did not finance domestic investment would increase net foreign investment and improve the current account balance.[SEP]Saving could increase net foreign investment  substantially and quickly. 
Contradiction,"It has long been influenced by their differing traits, and has assimilated their various customs and practices.[SEP]Their different traits have had no impact on any cultures."
Entailment,"But is the Internet so miraculous an advertising vehicle that Gross will be able to siphon off $400 per person from total ad spending of $1,000 per family--or persuade advertisers to spend an additional $400 to reach each of his customers?[SEP]Was the internet so great at advertising that Gross would pay $400 per person per ad, totalling spending $1000 per family or persuade adversisers to shell out an extra $400 to reach each customer?"
Entailment,The questions may need to be tailored to[SEP]There are some questions that may or may not need to be tailored to.
Neutral,have you read Tom Clancy[SEP]He personally liked Tom Clancy.
Contradiction,"That's it. The girl looked at him, then passed her hand across her forehead.[SEP]The girl turned away from him and kept her hands still."
Neutral,Melatonin[SEP]It has ten grams of melatonin.
Neutral,Diets for men in their prime[SEP]A diet for men made up completely of meat. 
Contradiction,yeah it's just a matter of education i think[SEP]Yeah but education doesn't matter.
Neutral,Three more days went by in dreary inaction.[SEP]The days passed by slowly.
Neutral,Every August young women convene to light joss sticks and some even climb the nine-meter (30-ft) rock to pray for good husbands.[SEP]Women find husbands after climbing the rock and praying.  
Entailment,"It was still night.[SEP]The sun hadn't risen yet, for the moon was shining daringly in the sky."
Neutral,"For example, if Ovitz's five-year deal was worth, say, $100 million, and if the compensation committee had added to that a front-end grant of free Disney shares worth, say, $50 million, then--assuming that Ovitz finished his five-year contract period--the cost to Disney would be $150 million.[SEP]The five-year deal will be worth $100 million"
Entailment,you know we keep a couple hundred dollars um if that much charged on those which isn't too bad it's just your normal[SEP]We have some money on there
Neutral,"As long as Assad lives, he can manage these troubles and keep an agreement with Israel.[SEP]As long as Assad doesn't die in the hurricane, he will still be able to take care of the trouble with the soldiers. "
Contradiction,"Some experts say there's a greater chance of a making a catch in the cooler days of spring and autumn, and in the hours after sunset.[SEP]Experts say you should never try to make a catch after sunset."
Contradiction,"Across the river from the city, it has superb views; rooms are very contemporary in design.[SEP]It has terrible views of the parking lot."
Contradiction,"If not the most beautiful, the chateau is certainly the most formidable in the Loire Valley, a real defensive fortress, its black ramparts still forbidding despite having had their towers decapitated on the orders of Henri III.[SEP]The chateau is certainly the least formidable in all of the Loire Valley."
Entailment,Two aromatic aniseed drinks are also produced locally.[SEP]The aniseed drinks have a good smell to them.
Contradiction,"In Japan, Mainichi Shimbun criticized the new Liberal Democratic Party leader Keizo Obuchi for being devoid of fresh ideas for reviving the Japanese economy.[SEP]Mainichi Shimbun approved of Keizo Obuchi's efforts toward improving the economy."
Entailment,"Sandstone and granite were the materials used to build the Baroque church of Bom Jesus, famous for its casket of St. Francis Xavier's relics in the mausoleum to the right of the altar.[SEP]The Baroque chuch of Bom Jesus is a famous church made of sandstone and granite."
Neutral,TEST ORGANISMS[SEP]Trial Living Plants
Entailment,"Don't take it to heart, lad, he said kindly.[SEP]He was trying to console the lad."
Entailment,"Summary of Deferred Maintenance as of September 30, 199Z (in Millions of Dollars):[SEP]Deferred Maintenance in Millions of Dollars, as of September 30, 199Z:"
Neutral,The opportunity[SEP]Opportunities are important to take advantage of.
Entailment,uh wasn't that Jane Eyre no he wrote Jane Eyre too[SEP]Was it Jane Eyre or not?
Contradiction,"I shan't stop you.""[SEP]I will stop you."
Neutral,ENVIRONMENTAL PROTECTION AGENCY[SEP]Agency which is responsible for the protection of the environment and the maintaining of national parks.
Contradiction,"These gardens used to belong to the governor's mountain lodge, but the building was demolished by the Japanese during the occupation of Hong Kong.[SEP]These gardens belong to the governor's mountain lodge."
Entailment,"There is nothing more to be done here, I think, unless, he stared earnestly and long at the dead ashes in the grate. [SEP]There isn't anything left to do. "
Contradiction,"They are the four sentences you always insert in plagiarized papers to throw the professor off track.[SEP]If you put these four sentences into your paper, professors will immediately know that it's been plagiarized."
Neutral,"I think as soon as they get you, they'll come for me.[SEP]I'll help you get away."
Entailment,"In short, this is a whole new costing area that would need to be undertaken.[SEP]In a nutshell, this new costing area would need to be undertaken."
Neutral,Melatonin[SEP]It contains melatonin. 
Entailment,You'll find galleries in all the major towns and in some of the smaller villages.[SEP]Smaller villages also operate galleries that can be found.
Contradiction,"They found plenty of water pouring down from the mountains, and more timber than anyone knew what to do with.[SEP]There was no water found pouring down from the mountains."
Contradiction,"On your right is the entrance to the 16th-century Sandal Bedesten, with lovely brick vaults supported on massive stone pillars.[SEP]We will not be able to show you the entrance to the Sandal Bedesten because of construction."
Contradiction,Progressives at last are noticing that the best argument for government activism is that it works.[SEP]Progressives are arguing that government activism does not work whatsoever. 
Entailment,"No one was there, no bones at all.[SEP]Nothing was left from the body."
Neutral,"While the NIPA measure reflects how government saving affects national saving available for investment, the unified budget measure is the more common frame of reference for discussing federal fiscal policy issues.[SEP]The NIPA measure is more reliable than the unified budget measure."
Neutral,"My body is to me like a crippled rabbit that I don't want to pet, that I forget to feed on time, that I haven't time to play with and get to know, a useless rabbit kept in a cage that it would be cruel to turn loose.[SEP]I am anorexic."
Contradiction,uh but you could fill a whole bunch of uh holes with these things i used to i used to advertise buying wheat pennies um i'd give a dollar a roll which two cents a piece which is basically overpriced[SEP]I used to try to sell wheat pennies.
Contradiction,"Penrith and Blencathra are also Celtic names, established during this early period of settlement.[SEP]Penrith and Blencathra are names which go back to ancient Rome."
Entailment,"If necessary to meeting the restrictions imposed in the preceding sentence, the Administrator shall reduce, pro rata, the basic Phase II allowance allocations for each unit subject to the requirements of section 414.[SEP]The administrator shall reduce allowance for each unit. "
Entailment,"As a result, their services may be more effective when conducted in the emergency department environment.[SEP]Their services might be more effective if they're done in the ED."
Neutral,evaluation questions.[SEP]There are evaluation questions on the topic.
Neutral,"Therefore, many leading finance organizations have calculated and compared these percentages as a general indication of how well they supported the organization's business objectives.[SEP]Finance organization calculated data about every other organization."
Entailment,"Previously, at the request of the Republican Ranking Minority Member of the House Committee on Government Operations, GAO reviewed activities of President Clintonas Task Force on Health Care Reform and was provided with an extensive listing of working group participants drawn from the government and from outside organizations.[SEP]The GAO have reviewed the activities of President Clinton's Task Force."
Neutral,"She, in turn, was worshipped by her subjects as a living god.[SEP]As a result, she was revered by her subjects as a living deity: one among many."
Contradiction,The air is warm.[SEP]The frigid air caught them all by surprise.
Entailment,Among the disadvantages are that the degree of innovation and product differentiation might continue to be limited.[SEP]Limited innovation is not going to be an advantage. 
Neutral,Treat yourself and bill it to Si.[SEP]Spend as much as you like and bill it to Si.
Neutral,"i think that yeah i think and i i think that's real important[SEP]""I truly believe that that's really important for us to know."""
Contradiction,An important part of U.S. diplomacy is getting sovereign states to work together voluntarily.[SEP]It's not important for states to work together.
Contradiction,"CHAPTER 6: HUMAN CAPITAL[SEP]Capital is money, not people."
Contradiction,The rise of the British Empire in India had begun.[SEP]It started the rise of the German Empire in India.
Contradiction,but uh these guys were actually on the road uh two thousand miles from from home when they had to file their uh their final exams and send them in[SEP]These men filed their midterm exams from home. 
Neutral,Sarawak pottery is ochre-colored with bold geometric designs.[SEP]Sarawak pottery has been around for a long time.
Entailment,"I ordered Better Sexual Techniques , Advanced Sexual Techniques , Making Sex Fun , and Advanced Oral Sex Techniques (priced about $11.[SEP]The orders I made were not being offered for free."
Entailment,Benchmarked by U.S.[SEP]Benchmark in America.
Neutral,The truth?[SEP]Will you tell the truth?
Neutral,it sure will well good to talk to[SEP]Let's talk again soon.
Contradiction,because like Tech is known to be a good engineering school and A and M maybe is known more for computers[SEP]A and M's computer department isn't very well regarded.
Contradiction,The celebrity-obsessed magazine surpasses itself in the post-Oscar issue.[SEP]The magazine is not interested in celebrities.
Entailment,Tommy felt his ascendancy less sure than a moment before.[SEP]Tommy was getting less certain about his ascendancy.
Contradiction,"Whether you drink beer or alcohol or not, a trip to Dublin isn't complete without a visit to some of its pubs don't miss this experience.[SEP]If you don't drink, don't bother visiting the pubs in London."
Contradiction,"But although the 60 Minutes producer is played by the star (Pacino grandstands, but not to the point of distraction), Bergman's story doesn't have the same primal force.[SEP]The producer is played by Harrison Ford."
Entailment,I never said you were a mandrake-man.[SEP]I never once said or implied you were a mandrake.
Entailment,down here it's been it's everybody's got colds and everything because it's cold one day and hot the next day[SEP]The colds are directly related to the temperature change.  
Contradiction,"i don't know what kind of a summer we're expecting this year i imagine it's going to be hot again[SEP]I work in the weather station, so I know all about the predictions for the weather this summer."
Neutral,"The central section of Tinos has little of interest, but make your way over the hills to the pretty village of Pyrgos, famed for its school of marble carving.[SEP]Not very many tourists visit the central section of Tinos."
Neutral,"Unless the report is restricted by law or regulation, auditors should ensure that copies be made available for public inspection.[SEP]This report is most likely restricted by law or regulation and should not be ensured."
Entailment,"The next year, he was expelled from Rand as a security risk after local police caught him engaging in a lewd act in a public men's room near Muscle Beach.[SEP]They expelled him from Rand because he commited a crime"
Neutral,I was to watch for an advertisement in the Times.[SEP]I was anticipating an ad for cigars in the newspaper. 
Contradiction,"Unsurprisingly, golfing is prohibitively expensive.[SEP]Golf is a cheap past time so lots of people do it."
Neutral,The final reason for the teen renaissance is boomer self-obsession.[SEP]There are 15 key reasons for the teen renaissance we are seeing.
Neutral,uh well i figured if i had it done in the garage at the Toyota dealer i would be looking at probably three or four hundred dollars[SEP]The cost at the dealer's garage is twice as much as what I paid.
Entailment,"Part 2), Confidentiality of Alcohol and Drug Abuse Patient Records.[SEP]Drug and alcohol rehab records are to be kept confidential"
Entailment,"Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.[SEP]More than a million people gathered to celebrate mass when Pope John Paul II visited in 1979."
Entailment,"well they're so close to an undefeated undefeated season they can taste it and they wanna make history so i don't think they're gonna lack for motivation[SEP]They're close to winning the season, so they won't have any issues with motivation."
Contradiction,trying to keep grass alive during a summer on a piece of ground that big was expensive[SEP]There was no cost in keeping the grass alive in the summer time.
